# Created by Octave 2.0.16, Mon Sep 11 13:59:15 2000 <gonzalez@charm>
# name: data
# type: matrix
# rows: 86
# columns: 2
 0 2.89492136632275
 10 2.89497145168413
 20 2.89512171036783
 30 2.89537215017259
 40 2.89572278409629
 50 2.89617363033593
 60 2.89672471228771
 70 2.89737605854693
 80 2.89812770290809
 90 2.8989796843648
 100 2.89993204710984
 110 2.90098484053514
 120 2.90213811923176
 130 2.90339194298993
 140 2.90474637679904
 150 2.90620149084759
 160 2.90775736052327
 170 2.9094140664129
 180 2.91117169430246
 190 2.91303033517707
 200 2.914990085221
 210 2.91705104581768
 220 2.91921332354969
 230 2.92147703019874
 240 2.92384228274572
 250 2.92630920337064
 260 2.92887791945269
 270 2.93154856357018
 280 2.93432127350059
 290 2.93719619222055
 300 2.94017346790582
 310 2.94325325393134
 320 2.94643570887117
 330 2.94972099649855
 340 2.95310928578584
 350 2.95660075090457
 360 2.96019557122541
 370 2.96389393131819
 380 2.96769602095188
 390 2.97160203509461
 400 2.97561217391365
 410 2.97972664277542
 420 2.9839456522455
 430 2.98826941808861
 440 2.99269816126862
 450 2.99723210794856
 460 3.00187148949061
 470 3.00661654245609
 480 3.01146750860546
 490 3.01642463489836
 500 3.02148817349355
 510 3.02665838174897
 520 3.03193552222169
 530 3.03731986266792
 540 3.04281167604305
 550 3.04841124050159
 560 3.05411883939722
 570 3.05993476128276
 580 3.06585929991019
 590 3.07189275423064
 600 3.07803542839436
 610 3.08428763175079
 620 3.09064967884851
 630 3.09712188943522
 640 3.10370458845782
 650 3.11039810606231
 660 3.11720277759388
 670 3.12411894359685
 680 3.13114694981468
 690 3.13828714719002
 700 3.14553989186461
 710 3.1529055451794
 720 3.16038447367445
 730 3.16797704908899
 740 3.17568364836138
 750 3.18350465362916
 760 3.191440452229
 770 3.19949143669671
 780 3.20765800476727
 790 3.21594055937481
 800 3.2243395086526
 810 3.23285526593305
 820 3.24148824974775
 830 3.25023888382742
 840 3.25910759710192
 850 3.26809482370029
