0.5 0.0100474 0.0380085 0.0602559 0.0787244 0.0945101 0.108293 0.120524 0.131517 0.141499 0.150641 0.159073
1 0.491814 0.604103 0.693303 0.767294 0.830507 0.885685 0.934641 0.978635 1.01858 1.05516 1.0889
2 1.07481 1.33977 1.55276 1.73083 1.8838 2.01787 2.13721 2.24473 2.34256 2.4323 2.51519
3 1.40349 1.803 2.12793 2.4017 2.63822 2.8464 3.03231 3.20025 3.35338 3.49411 3.6243
4 1.5891 2.10809 2.53472 2.89681 3.21129 3.48921 3.73818 3.96365 4.16969 4.35937 4.53509
5 1.68144 2.30725 2.8267 3.27054 3.65794 4.0016 4.31039 4.59073 4.84741 5.08411 5.30372
6 1.70805 2.42994 3.03444 3.55418 4.00992 4.41567 4.78128 5.11398 5.41919 5.70111 5.96304
7 1.68596 2.49472 3.17744 3.76783 4.28777 4.75224 5.1719 5.55463 5.9064 6.23182 6.53458
8 1.62647 2.51417 3.26908 3.92539 4.50575 5.02584 5.49698 5.92756 6.32401 6.69133 7.03351
9 1.53749 2.49725 3.31897 4.03695 4.67426 5.24712 5.76733 6.24373 6.68311 7.09081 7.47107
10 1.42475 2.45054 3.33431 4.11008 4.80118 5.42417 5.99122 6.51152 6.99218 7.4388 7.85588
11 1.29255 2.37908 3.32059 4.15065 4.89262 5.56329 6.1751 6.73751 7.25789 7.74207 8.19475
12 1.14418 2.28675 3.28215 4.1633 4.95347 5.66954 6.32416 6.927 7.48562 8.00607 8.4932
13 0.982185 2.17665 3.22245 4.15177 4.98765 5.74701 6.44262 7.08429 7.67978 8.23526 8.75575
14 0.808614 2.05125 3.14431 4.11911 4.99842 5.7991 6.53398 7.213 7.84403 8.43337 8.98619
15 0.625106 1.91259 3.05003 4.06786 4.98847 5.82864 6.60119 7.31614 7.98146 8.60355 9.18769
16 0.433001 1.76234 2.94154 4.00013 4.96008 5.83801 6.64673 7.39628 8.0947 8.7485 9.36301
17 0.233402 1.60189 2.82047 3.91773 4.91518 5.82927 6.67273 7.45562 8.18603 8.87051 9.51449
18 0.0272291 1.43242 2.68819 3.82217 4.85543 5.80416 6.68103 7.49607 8.2574 8.97161 9.64419
19 -0.184744 1.25492 2.54586 3.71478 4.78225 5.76421 6.67322 7.51929 8.31052 9.05355 9.7539
20 -0.401862 1.07024 2.39451 3.5967 4.69689 5.71075 6.65072 7.52674 8.3469 9.11788 9.8452
21 -0.623568 0.879128 2.23501 3.46892 4.60043 5.64495 6.61474 7.51969 8.36788 9.16596 9.9195
22 -0.849381 0.682204 2.06812 3.33231 4.49384 5.56782 6.56638 7.4993 8.37463 9.19902 9.97805
23 -1.07889 0.480025 1.8945 3.18763 4.37795 5.48029 6.5066 7.46658 8.36821 9.21815 10.022
24 -1.31173 0.273074 1.71476 3.03555 4.25352 5.38317 6.43627 7.42242 8.34957 9.22432 10.0523
25 -1.54758 0.061776 1.5294 2.87669 4.12121 5.27717 6.35616 7.36766 8.31956 9.21843 10.0698
26 -1.78619 -0.153494 1.33888 2.71157 3.98162 5.16296 6.26697 7.30303 8.27894 9.20126 10.0755
27 -2.02729 -0.372403 1.14363 2.54067 3.83529 5.04112 6.16933 7.22918 8.22842 9.17354 10.0701
28 -2.27068 -0.594655 0.944009 2.36443 3.68271 4.91217 6.0638 7.14674 8.16863 9.13594 10.0542
29 -2.51616 -0.819986 0.740344 2.18322 3.52431 4.7766 5.95091 7.05623 8.10015 9.08906 10.0284
30 -2.76357 -1.04816 0.532933 1.99741 3.36048 4.63485 5.83112 6.95818 8.0235 9.03343 9.99342
31 -3.01276 -1.27896 0.322047 1.80731 3.19159 4.48731 5.70488 6.85303 7.93917 8.96959 9.94968
32 -3.26358 -1.5122 0.107926 1.6132 3.01796 4.33434 5.57256 6.74121 7.84761 8.89798 9.89768
33 -3.51592 -1.7477 -0.109207 1.41535 2.8399 4.17629 5.43453 6.6231 7.74922 8.81904 9.83789
34 -3.76966 -1.98531 -0.329153 1.214 2.65768 4.01345 5.29113 6.49907 7.64438 8.73317 9.7707
35 -4.02471 -2.22488 -0.551728 1.00937 2.47155 3.8461 5.14266 6.36943 7.53344 8.64072 9.6965
36 -4.28097 -2.46628 -0.776766 0.801657 2.28173 3.6745 4.9894 6.2345 7.41673 8.54206 9.61566
37 -4.53836 -2.7094 -1.00411 0.591047 2.08846 3.4989 4.83161 6.09455 7.29454 8.43748 9.52849
38 -4.79681 -2.95413 -1.23363 0.377711 1.89192 3.3195 4.66955 5.94985 7.16715 8.32728 9.43531
39 -5.05625 -3.20035 -1.46518 0.161805 1.69229 3.13653 4.50342 5.80064 7.03483 8.21174 9.33641
