   8.2660929e-15              -90
       27.789794       -88.072514
        43.96221       -85.094259
       57.112361        -81.54938
       68.445978       -77.574761
       78.452596       -73.242945
       87.361205       -68.614932
       95.332885       -63.723853
       102.45617       -58.605017
       108.79595       -53.285151
       114.39855       -47.786432
       119.28743       -42.140025
       123.49254       -36.359887
       127.02872       -30.468239
       129.91107       -24.477783
       132.13961       -18.428522
       133.73149       -12.308773
       134.68331       -6.1610554
             135                0
       134.68331        6.1610554
       133.73149        12.308773
       132.13961        18.428522
       129.91107        24.477783
       127.02872        30.468239
       123.49254        36.359887
       119.28743        42.140025
       114.39855        47.786432
       108.79595        53.285151
       102.45617        58.605017
       95.332885        63.723853
       87.361205        68.614932
       78.452596        73.242945
       68.445978        77.574761
       57.112361         81.54938
        43.96221        85.094259
       27.789794        88.072514
   8.2660929e-15               90
  -8.2660929e-15               90
      -27.789794        88.072514
       -43.96221        85.094259
      -57.112361         81.54938
      -68.445978        77.574761
      -78.452596        73.242945
      -87.361205        68.614932
      -95.332885        63.723853
      -102.45617        58.605017
      -108.79595        53.285151
      -114.39855        47.786432
      -119.28743        42.140025
      -123.49254        36.359887
      -127.02872        30.468239
      -129.91107        24.477783
      -132.13961        18.428522
      -133.73149        12.308773
      -134.68331        6.1610554
            -135                0
      -134.68331       -6.1610554
      -133.73149       -12.308773
      -132.13961       -18.428522
      -129.91107       -24.477783
      -127.02872       -30.468239
      -123.49254       -36.359887
      -119.28743       -42.140025
      -114.39855       -47.786432
      -108.79595       -53.285151
      -102.45617       -58.605017
      -95.332885       -63.723853
      -87.361205       -68.614932
      -78.452596       -73.242945
      -68.445978       -77.574761
      -57.112361        -81.54938
       -43.96221       -85.094259
      -27.789794       -88.072514
  -8.2660929e-15              -90
