# name: sconst
# type: matrix
# rows: 15
# columns: 11
 1.0060482130941 1.57816622627383 2.16429860125368 2.75929535971375 3.36040934638233 3.96600075437737 4.57501187463756 5.1867205108411 5.80061154974587 6.41630465078505 7.03351097913933
 1.22830080960059 1.87450302161582 2.53471959543117 3.20380055272673 3.87899873823081 4.55867434506134 5.24176966415703 5.92756249919607 6.61553773693634 7.30531503681102 7.99660556400079
 1.40348888762581 2.10808712564945 2.8266997254732 3.55417670877718 4.28777092028966 5.0258425531286 5.7673338982327 6.51152275928015 7.25789402302882 8.00606734891191 8.75575390211009
 1.53699839203709 2.28609979819783 3.04921556615868 3.82119571759975 4.59929309724932 5.38186789822536 6.16786241146655 6.95655444065109 7.74742887253686 8.54010536655704 9.33429508789232
 1.63170934754574 2.41238107220935 3.20706715867308 4.01061762861703 4.82028532676949 5.63443044624841 6.45199527799248 7.2722576256799 8.09470237606855 8.91894918859161 9.74470922842977
 1.68878690275581 2.48848447915611 3.30219641735654 4.12477273903718 4.95346628892633 5.78663726014194 6.6232279436227 7.46251614304682 8.30398674517216 9.14725940943191 9.99204530100676
 1.70805296006196 2.51417255556432 3.33430651286679 4.16330485364948 4.99842042264068 5.83801341295834 6.68102611554115 7.52673633406732 8.37462895529471 9.22432363865651 10.0755315493334
 1.68813448705828 2.4876145915594 3.30110905786065 4.12346790764211 4.95194398563208 5.78489748494851 6.6212706965301 7.46034142405504 8.3015945542812 9.14464974664177 9.98921816631744
 1.62646697129697 2.40539123721099 3.19832986492513 4.00013287611949 4.80805311552236 5.62045077625169 6.43626814924617 7.25478303818401 8.07548032982306 8.89797968359654 9.7219922646851
 1.5191798767076 2.2623417777585 3.01951804060952 3.78555868694075 4.5577165614805 5.3343518573467 6.11440686547806 6.89715938955277 7.68209431632871 8.46883130523906 9.2570815214645
 1.36086156669435 2.05125069774083 2.75565419058743 3.46892206691425 4.18830717144957 4.91216969731136 5.6394519354383 6.3694316895086 7.10159384628012 7.83555806518605 8.57103551140707
 1.14417718847921 1.76233819345398 2.39451356022887 3.03555331048398 3.68271028894759 4.33434468873767 4.9893988007929 5.64715042879148 6.30708445949129 6.96882055232551 7.63206987247482
 0.859285034393737 1.38248198800668 1.91969330341975 2.46576900231303 3.01796192941482 3.57463227784307 4.13472233853648 4.69750991517324 5.26247989451122 5.82925193598361 6.3975372047711
 0.492955635297185 0.89404278921128 1.3091443049255 1.73311020411993 2.16319333152287 2.59775388025227 3.03573414124682 3.47641191818473 3.91927209782386 4.36393433959741 4.81010980868605
 0.0272291051117177 0.273074082297323 0.532933421283051 0.801657143748994 1.07649809442344 1.35581646642436 1.63855455069042 1.92399015089984 2.21160815381048 2.50102821885554 2.79196151121569
# name: tsconst
# type: matrix
# rows: 15
# columns: 11
 1.84615384615385 2.46153846153846 3.07692307692308 3.69230769230769 4.30769230769231 4.92307692307692 5.53846153846154 6.15384615384615 6.76923076923077 7.38461538461539 8
 2.4 3.2 4 4.8 5.6 6.4 7.2 8 8.8 9.6 10.4
 3 4 5 6 7 8 9 10 11 12 13
 3.65217391304348 4.8695652173913 6.08695652173913 7.30434782608696 8.52173913043478 9.73913043478261 10.9565217391304 12.1739130434783 13.3913043478261 14.6086956521739 15.8260869565217
 4.36363636363636 5.81818181818182 7.27272727272727 8.72727272727273 10.1818181818182 11.6363636363636 13.0909090909091 14.5454545454545 16 17.4545454545455 18.9090909090909
 5.14285714285714 6.85714285714286 8.57142857142857 10.2857142857143 12 13.7142857142857 15.4285714285714 17.1428571428571 18.8571428571429 20.5714285714286 22.2857142857143
 6 8 10 12 14 16 18 20 22 24 26
 6.94736842105263 9.26315789473684 11.5789473684211 13.8947368421053 16.2105263157895 18.5263157894737 20.8421052631579 23.1578947368421 25.4736842105263 27.7894736842105 30.1052631578947
 8 10.6666666666667 13.3333333333333 16 18.6666666666667 21.3333333333333 24 26.6666666666667 29.3333333333333 32 34.6666666666667
 9.1764705882353 12.2352941176471 15.2941176470588 18.3529411764706 21.4117647058824 24.4705882352941 27.5294117647059 30.5882352941177 33.6470588235294 36.7058823529412 39.7647058823529
 10.5 14 17.5 21 24.5 28 31.5 35 38.5 42 45.5
 12 16 20 24 28 32 36 40 44 48 52
 13.7142857142857 18.2857142857143 22.8571428571429 27.4285714285714 32 36.5714285714286 41.1428571428571 45.7142857142857 50.2857142857143 54.8571428571429 59.4285714285714
 15.6923076923077 20.9230769230769 26.1538461538462 31.3846153846154 36.6153846153846 41.8461538461539 47.0769230769231 52.3076923076923 57.5384615384616 62.7692307692308 68
 18 24 30 36 42 48 54 60 66 72 78
