# Created by Octave 2.0.16, Sat Aug 26 10:07:45 2000 <gonzalez@hades>
# name: axis135
# type: matrix
# rows: 362
# columns: 2
 8.26609288830105e-15 -90
 2.35607486903326 -89
 4.71143205483765 -88
 7.06535409279744 -87
 9.41712395545694 -86
 11.7660252709338 -85
 14.1113425411332 -84
 16.4523613596949 -83
 18.7883686296089 -82
 21.1186527804312 -81
 23.4425039850356 -80
 25.7592143758336 -79
 28.0680782603975 -78
 30.3683923364218 -77
 32.6594559059552 -76
 34.9405710888403 -75
 37.2110430352949 -74
 39.4701801375695 -73
 41.7172942406179 -72
 43.9517008517162 -71
 46.1727193489653 -70
 48.3796731886155 -69
 50.5718901111481 -68
 52.748702346052 -67
 54.909446815233 -66
 57.0534653349944 -65
 59.1801048165255 -64
 61.2887174648388 -63
 63.3786609760953 -62
 65.4492987332555 -61
 67.5 -60
 69.5301401128573 -59
 71.5391006714827 -58
 73.5262697270287 -57
 75.4910419685508 -56
 77.4328189073912 -55
 79.3510090594839 -54
 81.2450281255265 -53
 83.1142991689639 -52
 84.9582527917281 -51
 86.7763273076828 -50
 88.5679689137185 -49
 90.3326318584459 -48
 92.0697786084373 -47
 93.7788800119646 -46
 95.4594154601839 -45
 97.1108730457179 -44
 98.732749718588 -43
 100.324551439448 -42
 101.885793330074 -41
 103.415999821062 -40
 104.914704796691 -39
 106.381451736907 -38
 107.815793856385 -37
 109.217294240618 -36
 110.585525979014 -35
 111.920072294931 -34
 113.220526672632 -33
 114.486492981118 -32
 115.717585594785 -31
 116.913429510899 -30
 118.073660463818 -29
 119.197925035955 -28
 120.28588076543 -27
 121.337196250388 -26
 122.351551249948 -25
 123.328636781751 -24
 124.268155216079 -23
 125.169820366516 -22
 126.033357577122 -21
 126.858503806098 -20
 127.645007705908 -19
 128.392629699846 -18
 129.10114205501 -17
 129.770328951673 -16
 130.399986549024 -15
 130.98992304726 -14
 131.539958746007 -13
 132.049926099064 -12
 132.519669765435 -11
 132.949046656648 -10
 133.337925980344 -9
 133.686189280112 -8
 133.993730471578 -7
 134.260455874717 -6
 134.486284242386 -5
 134.671146785076 -4
 134.814987191867 -3
 134.917761647578 -2
 134.979438846113 -1
 135 0
 134.979438846113 1
 134.917761647578 2
 134.814987191867 3
 134.671146785076 4
 134.486284242386 5
 134.260455874717 6
 133.993730471578 7
 133.686189280112 8
 133.337925980344 9
 132.949046656648 10
 132.519669765435 11
 132.049926099064 12
 131.539958746007 13
 130.98992304726 14
 130.399986549024 15
 129.770328951673 16
 129.10114205501 17
 128.392629699846 18
 127.645007705908 19
 126.858503806098 20
 126.033357577122 21
 125.169820366516 22
 124.268155216079 23
 123.328636781751 24
 122.351551249948 25
 121.337196250388 26
 120.28588076543 27
 119.197925035955 28
 118.073660463818 29
 116.913429510899 30
 115.717585594785 31
 114.486492981118 32
 113.220526672632 33
 111.920072294931 34
 110.585525979014 35
 109.217294240618 36
 107.815793856385 37
 106.381451736907 38
 104.914704796691 39
 103.415999821062 40
 101.885793330074 41
 100.324551439448 42
 98.732749718588 43
 97.1108730457179 44
 95.4594154601839 45
 93.7788800119646 46
 92.0697786084373 47
 90.3326318584459 48
 88.5679689137185 49
 86.7763273076828 50
 84.9582527917281 51
 83.1142991689639 52
 81.2450281255265 53
 79.3510090594839 54
 77.4328189073912 55
 75.4910419685508 56
 73.5262697270287 57
 71.5391006714827 58
 69.5301401128573 59
 67.5 60
 65.4492987332555 61
 63.3786609760953 62
 61.2887174648388 63
 59.1801048165255 64
 57.0534653349944 65
 54.909446815233 66
 52.748702346052 67
 50.5718901111481 68
 48.3796731886155 69
 46.1727193489653 70
 43.9517008517162 71
 41.7172942406179 72
 39.4701801375695 73
 37.2110430352949 74
 34.9405710888403 75
 32.6594559059552 76
 30.3683923364218 77
 28.0680782603975 78
 25.7592143758336 79
 23.4425039850356 80
 21.1186527804312 81
 18.7883686296089 82
 16.4523613596949 83
 14.1113425411332 84
 11.7660252709338 85
 9.41712395545694 86
 7.06535409279744 87
 4.71143205483765 88
 2.35607486903326 89
 8.26609288830105e-15 90
 -8.26609288830105e-15 90
 -2.35607486903326 89
 -4.71143205483765 88
 -7.06535409279744 87
