# Created by Octave 2.0.16, Sat Aug 26 10:08:21 2000 <gonzalez@hades>
# name: axis45
# type: matrix
# rows: 362
# columns: 2
 2.75536429610035e-15 -90
 0.785358289677752 -89
 1.57047735161255 -88
 2.35511803093248 -87
 3.13904131848565 -86
 3.92200842364462 -85
 4.70378084704441 -84
 5.48412045323164 -83
 6.26278954320296 -82
 7.03955092681039 -81
 7.81416799501187 -80
 8.58640479194452 -79
 9.35602608679918 -78
 10.1227974454739 -77
 10.8864853019851 -76
 11.6468570296134 -75
 12.403681011765 -74
 13.1567267125232 -73
 13.9057647468726 -72
 14.6505669505721 -71
 15.3909064496551 -70
 16.1265577295385 -69
 16.857296703716 -68
 17.5829007820173 -67
 18.303148938411 -66
 19.0178217783315 -65
 19.7267016055085 -64
 20.4295724882796 -63
 21.1262203253651 -62
 21.8164329110852 -61
 22.5 -60
 23.1767133709524 -59
 23.8463668904942 -58
 24.5087565756762 -57
 25.1636806561836 -56
 25.8109396357971 -55
 26.4503363531613 -54
 27.0816760418422 -53
 27.7047663896546 -52
 28.3194175972427 -51
 28.9254424358943 -50
 29.5226563045728 -49
 30.1108772861486 -48
 30.6899262028124 -47
 31.2596266706549 -46
 31.8198051533946 -45
 32.3702910152393 -44
 32.9109165728627 -43
 33.4415171464827 -42
 33.9619311100247 -41
 34.471999940354 -40
 34.9715682655637 -39
 35.4604839123025 -38
 35.9385979521282 -37
 36.4057647468726 -36
 36.8618419930046 -35
 37.3066907649769 -34
 37.7401755575441 -33
 38.1621643270392 -32
 38.5725285315951 -31
 38.9711431702997 -30
 39.3578868212728 -29
 39.7326416786517 -28
 40.0952935884766 -27
 40.4457320834625 -26
 40.7838504166492 -25
 41.109545593917 -24
 41.4227184053598 -23
 41.7232734555054 -22
 42.0111191923741 -21
 42.2861679353659 -20
 42.5483359019693 -19
 42.7975432332819 -18
 43.0337140183366 -17
 43.2567763172244 -16
 43.4666621830081 -15
 43.6633076824198 -14
 43.8466529153356 -13
 44.0166420330213 -12
 44.1732232551449 -11
 44.3163488855494 -10
 44.4459753267812 -9
 44.5620630933707 -8
 44.6645768238595 -7
 44.7534852915723 -6
 44.8287614141286 -5
 44.8903822616921 -4
 44.9383290639558 -3
 44.9725872158593 -2
 44.9931462820376 -1
 45 0
 44.9931462820376 1
 44.9725872158593 2
 44.9383290639558 3
 44.8903822616921 4
 44.8287614141286 5
 44.7534852915723 6
 44.6645768238595 7
 44.5620630933707 8
 44.4459753267812 9
 44.3163488855494 10
 44.1732232551449 11
 44.0166420330213 12
 43.8466529153356 13
 43.6633076824198 14
 43.4666621830081 15
 43.2567763172244 16
 43.0337140183366 17
 42.7975432332819 18
 42.5483359019693 19
 42.2861679353659 20
 42.0111191923741 21
 41.7232734555054 22
 41.4227184053598 23
 41.109545593917 24
 40.7838504166492 25
 40.4457320834625 26
 40.0952935884766 27
 39.7326416786517 28
 39.3578868212728 29
 38.9711431702997 30
 38.5725285315951 31
 38.1621643270392 32
 37.7401755575441 33
 37.3066907649769 34
 36.8618419930046 35
 36.4057647468726 36
 35.9385979521282 37
 35.4604839123025 38
 34.9715682655637 39
 34.471999940354 40
 33.9619311100247 41
 33.4415171464827 42
 32.9109165728627 43
 32.3702910152393 44
 31.8198051533946 45
 31.2596266706549 46
 30.6899262028124 47
 30.1108772861486 48
 29.5226563045728 49
 28.9254424358943 50
 28.3194175972427 51
 27.7047663896546 52
 27.0816760418422 53
 26.4503363531613 54
 25.8109396357971 55
 25.1636806561836 56
 24.5087565756762 57
 23.8463668904942 58
 23.1767133709524 59
 22.5 60
 21.8164329110852 61
 21.1262203253651 62
 20.4295724882796 63
 19.7267016055085 64
 19.0178217783315 65
 18.303148938411 66
 17.5829007820173 67
 16.857296703716 68
 16.1265577295385 69
 15.3909064496551 70
 14.6505669505721 71
 13.9057647468726 72
 13.1567267125232 73
 12.403681011765 74
 11.6468570296134 75
 10.8864853019851 76
 10.1227974454739 77
 9.35602608679918 78
 8.58640479194452 79
 7.81416799501187 80
 7.03955092681039 81
 6.26278954320296 82
 5.48412045323164 83
 4.70378084704441 84
 3.92200842364462 85
 3.13904131848565 86
 2.35511803093248 87
 1.57047735161255 88
 0.785358289677752 89
 2.75536429610035e-15 90
 -2.75536429610035e-15 90
 -0.785358289677752 89
 -1.57047735161255 88
 -2.35511803093248 87
 -3.13904131848565 86
 -3.92200842364462 85
 -4.70378084704441 84
 -5.48412045323164 83
 -6.26278954320296 82
 -7.03955092681039 81
 -7.81416799501187 80
 -8.58640479194452 79
 -9.35602608679918 78
 -10.1227974454739 77
 -10.8864853019851 76
 -11.6468570296134 75
 -12.403681011765 74
 -13.1567267125232 73
 -13.9057647468726 72
 -14.6505669505721 71
 -15.3909064496551 70
 -16.1265577295385 69
 -16.857296703716 68
 -17.5829007820173 67
 -18.303148938411 66
 -19.0178217783315 65
 -19.7267016055085 64
 -20.4295724882796 63
 -21.1262203253651 62
 -21.8164329110852 61
 -22.5 60
 -23.1767133709524 59
 -23.8463668904942 58
 -24.5087565756762 57
 -25.1636806561836 56
 -25.8109396357971 55
 -26.4503363531613 54
 -27.0816760418422 53
 -27.7047663896546 52
 -28.3194175972427 51
 -28.9254424358943 50
 -29.5226563045728 49
 -30.1108772861486 48
 -30.6899262028124 47
 -31.2596266706549 46
 -31.8198051533946 45
 -32.3702910152393 44
 -32.9109165728627 43
 -33.4415171464827 42
 -33.9619311100247 41
 -34.471999940354 40
 -34.9715682655637 39
 -35.4604839123025 38
 -35.9385979521282 37
 -36.4057647468726 36
 -36.8618419930046 35
 -37.3066907649769 34
 -37.7401755575441 33
 -38.1621643270392 32
 -38.5725285315951 31
 -38.9711431702997 30
 -39.3578868212728 29
 -39.7326416786517 28
 -40.0952935884766 27
 -40.4457320834625 26
 -40.7838504166492 25
 -41.109545593917 24
 -41.4227184053598 23
 -41.7232734555054 22
 -42.0111191923741 21
 -42.2861679353659 20
 -42.5483359019693 19
 -42.7975432332819 18
 -43.0337140183366 17
 -43.2567763172244 16
 -43.4666621830081 15
 -43.6633076824198 14
 -43.8466529153356 13
 -44.0166420330213 12
 -44.1732232551449 11
 -44.3163488855494 10
 -44.4459753267812 9
 -44.5620630933707 8
 -44.6645768238595 7
 -44.7534852915723 6
 -44.8287614141286 5
 -44.8903822616921 4
 -44.9383290639558 3
 -44.9725872158593 2
 -44.9931462820376 1
 -45 0
 -44.9931462820376 -1
 -44.9725872158593 -2
 -44.9383290639558 -3
 -44.8903822616921 -4
 -44.8287614141286 -5
 -44.7534852915723 -6
 -44.6645768238595 -7
 -44.5620630933707 -8
 -44.4459753267812 -9
 -44.3163488855494 -10
 -44.1732232551449 -11
 -44.0166420330213 -12
 -43.8466529153356 -13
 -43.6633076824198 -14
 -43.4666621830081 -15
 -43.2567763172244 -16
 -43.0337140183366 -17
 -42.7975432332819 -18
 -42.5483359019693 -19
 -42.2861679353659 -20
 -42.0111191923741 -21
 -41.7232734555054 -22
 -41.4227184053598 -23
 -41.109545593917 -24
 -40.7838504166492 -25
 -40.4457320834625 -26
 -40.0952935884766 -27
 -39.7326416786517 -28
 -39.3578868212728 -29
 -38.9711431702997 -30
 -38.5725285315951 -31
 -38.1621643270392 -32
 -37.7401755575441 -33
 -37.3066907649769 -34
 -36.8618419930046 -35
 -36.4057647468726 -36
 -35.9385979521282 -37
 -35.4604839123025 -38
 -34.9715682655637 -39
 -34.471999940354 -40
 -33.9619311100247 -41
 -33.4415171464827 -42
 -32.9109165728627 -43
 -32.3702910152393 -44
 -31.8198051533946 -45
 -31.2596266706549 -46
 -30.6899262028124 -47
 -30.1108772861486 -48
 -29.5226563045728 -49
 -28.9254424358943 -50
 -28.3194175972427 -51
 -27.7047663896546 -52
 -27.0816760418422 -53
 -26.4503363531613 -54
 -25.8109396357971 -55
 -25.1636806561836 -56
 -24.5087565756762 -57
 -23.8463668904942 -58
 -23.1767133709524 -59
 -22.5 -60
 -21.8164329110852 -61
 -21.1262203253651 -62
 -20.4295724882796 -63
 -19.7267016055085 -64
 -19.0178217783315 -65
 -18.303148938411 -66
 -17.5829007820173 -67
 -16.857296703716 -68
 -16.1265577295385 -69
 -15.3909064496551 -70
 -14.6505669505721 -71
 -13.9057647468726 -72
 -13.1567267125232 -73
 -12.403681011765 -74
 -11.6468570296134 -75
 -10.8864853019851 -76
 -10.1227974454739 -77
 -9.35602608679918 -78
 -8.58640479194452 -79
 -7.81416799501187 -80
 -7.03955092681039 -81
 -6.26278954320296 -82
 -5.48412045323164 -83
 -4.70378084704441 -84
 -3.92200842364462 -85
 -3.13904131848565 -86
 -2.35511803093248 -87
 -1.57047735161255 -88
 -0.785358289677752 -89
 -2.75536429610035e-15 -90
