  2.7000000e+002  7.2981265e-001  6.0794382e-002
  2.8000000e+002  2.3718912e+000  1.9758165e-001
  2.9000000e+002  6.2946397e+000  5.2435125e-001
  3.0000000e+002  1.1312104e+001  9.4230926e-001
  3.1000000e+002  1.7697970e+001  1.4742617e+000
  3.2000000e+002  2.1529489e+001  1.7934320e+000
  3.3000000e+002  2.2715437e+001  1.8922212e+000
  3.4000000e+002  2.3992609e+001  1.9986108e+000
  3.5000000e+002  2.5452236e+001  2.1201998e+000
  3.6000000e+002  2.5999595e+001  2.1657963e+000
  3.7000000e+002  2.5999595e+001  2.1657963e+000
  3.8000000e+002  2.5817139e+001  2.1505977e+000
  3.9000000e+002  2.5269782e+001  2.1050007e+000
  4.0000000e+002  2.4996101e+001  2.0822043e+000
  4.1000000e+002  2.3718928e+001  1.9758136e+000
  4.2000000e+002  2.2441754e+001  1.8694216e+000
  4.3000000e+002  2.1073355e+001  1.7554326e+000
  4.4000000e+002  1.9613731e+001  1.6338460e+000
  4.5000000e+002  1.7971649e+001  1.4970577e+000
  4.6000000e+002  1.6420796e+001  1.3678716e+000
  4.8000000e+002  1.2954185e+001  1.0790977e+000
  5.0000000e+002  9.1226636e+000  7.5992802e-001
  5.2000000e+002  6.3858661e+000  5.3194922e-001
  5.4000000e+002  4.7437854e+000  3.9516188e-001
  5.6000000e+002  2.0982140e+000  1.7478500e-001
  5.8000000e+002  9.1226644e-001  7.5992823e-002
  6.0000000e+002  3.6490642e-001  3.0397125e-002
  6.2000000e+002  9.1224903e-002  7.5981922e-003
