 Source Name ;Alternate Name(s);Type ;TypeID;Gal_Long;Gal_Lat;RA;Dec;Skymap_x;Skymap_y;Distance(kpc/z);Energy(MeV);General Information 
GRO J1940-12;;Unidentified;5;28.9;-19.2;297.73;-12.2;27.2925;-19.2000;;30-100;Gamma-ray discovery (Dingus et al. 1996)
GRO J1948+32;;Accretor;1;72.02;-0.03;303.22;34.12;72.0200;-0.0300;;0.05–0.12;Low-energy gamma-ray discovery (Chakrabarty et al. 1995)
GRO J2058+42;;Accretor;1;83.55;-2.72;314.28;41.52;83.4559;-2.7200;;0.50–0.10;Gamma-ray observations (Wilson et al. 1997b)
GRO J2250-13;;Unidentified;5;53.33;-58.3;342.5;-13;28.0234;-58.3000;;100;Gamma-ray discovery (Vestrand, Stacy, & Sreekumar 1996)
GRO J2254-50;;Unidentified;5;339.41;-57.98;343.49;-50;-10.9171;-57.9800;;100;Gamma-ray discovery (Vestrand et al. 1996)
GRO J2303+44;;Unidentified;5;103.26;-14.57;345.86;44.14;99.9393;-14.5700;;1000;Gamma-ray observations and possible identification (Dingus et al. 1996)
GRS 1009-45;Nova Velorum 1993;X-ray nova;1;275.55;9.03;152.77;-45.15;-83.4034;9.0300;;0.05–0.15;"Discovery (Lapshov, Sazonov, & Sunyaev 1993; Harmon et al. 1993a); flux measurements and spectrum (Goldoni et al. 1998)"
GRS 1227+025;EQ 1227+0224,1E 1227+0224;Quasar;7;290.35;64.48;187.47;2.14;-30.0070;64.4800;;0.05–0.08;Gamma-ray discovery (Jourdain et al. 1992)
GRS 1724-308;CL Terzan 2;Accretor;1;356.32;2.3;261.89;-30.8;-3.6770;2.3000;10;0.05–0.2;"Gamma-ray spectrum (Barret et al. 1991); distance (Djorgovski 1993)"
GRS 1730-312;KS 1730-312;Accretor;1;356.33;1.59;262.6;-31.18;-3.6686;1.5900;;0.35–0.15;Gamma-ray discovery (Vargas et al. 1996)
GRS 1739-278;;Accretor;1;0.66;1.17;259.88;-27.76;0.6599;1.1700;;0.035-0.30;Gamma-ray discovery (Vargas et al. 1997)
GRS 1758-258;;Accretor;1;4.51;-1.36;270.3;-25.74;4.5087;-1.3600;;0.05–0.3;"Gamma-ray spectrum (Gilfanov et al. 1993; Bazzano et al. 1993); flux measurement (Heindl et al. 1993)"
GRS 1915+105;;Accretor;1;45.26;-0.85;289.33;10.55;45.2550;-0.8500;12.5;0.02–0.10;"Discovery (Castro-Tirado et al. 1994); spectral and variability studies (Paciesas et al. 1996); anticorrelation with radio (Harmon et al. 1997); superluminal motion and distance (Mirabel & Rodriguez 1994)"
GS 0834-43;;HMXRB;1;262.02;-1.5;128.98;-43.18;-97.9464;-1.5000;;0.05–0.1;"Gamma-ray outbursts (Wilson et al. 1997a); other flux (Denis et al. 1993)"
GS 1826-24;RX J1829.4-2347;LMXRB;1;9.27;-6.09;277.37;-23.8;9.2177;-6.0900;10;0.05–0.2;"Gamma-ray detection and spectrum (Strickman et al. 1996a); distance (Barret, Motch, & Pietsch 1995)"
GS 2000+25;Nova Vul 1988;X-ray nova;1;63.37;-3;300.71;25.24;63.2832;-3.0000;2;0.05–0.3;"Low-energy spectroscopy (Sunyaev et al. 1988a); distance (Callanan et al. 1996)"
GX 1+4;4U 1728-24,1H 1728-247,2S 1728-247,3A 1728-247,V2116 Oph;LMXRB;1;1.94;4.79;263.01;-24.75;1.9332;4.7900;8.3;0.05–0.50;"Spectral measurements (Laurent et al. 1993; Maurer et al. 1982; Greenhill et al. 1993; Mony et al. 1991; Beurle et al. 1984); flux measurements (Jayanthi, Jablonski, & Braga 1987; Levine et al. 1984; Refloc'h et al. 1986); distance (Jablonski & Pereira 1997)"
GX 17+2;;LMXRB;1;16.43;1.28;274.01;-14.04;16.4259;1.2800;7.5;0.05–0.08;"Flux measurement (Levine et al. 1984); distance (Christian & Swank 1997)"
GX 3+1;4U 1744-26,1H 1744-265,2S 1744-265,3A 1744-265,Sgr X-1;LMXRB;1;2.29;0.79;266.98;-26.56;2.2898;0.7900;5.6;0.05–0.08;"Flux measurement (Levine et al. 1984); distance (Christian & Swank 1997)"
GX 301-2;4U 1223-62,2S 1223-624,3A 1223-624,BP Cru;HMXRB;1;300.1;-0.04;186.66;-62.77;-59.9000;-0.0400;1.8 ± 0.4;0.05–0.08;"Flux measurements (Levine et al. 1984; Coe et al. 1976b); distance (Parkes et al. 1980)"
GX 304-1;4U 1258-61,2S 1258-613,V850 Cen,1H 1257-610;HMXRB;1;304.1;1.25;195.32;-61.6;-55.8867;1.2500;;0.05–0.08;Flux measurement (Levine et al. 1984)
GX 339-4;4U 1658-48,3A 1659-487,1H 1659-487,V821 Ara;LMXRB;1;338.94;-4.33;255.71;-48.79;-20.9999;-4.3300;4;0.05–0.6;"Spectroscopy observations (Dolan et al. 1987; Bouchet et al. 1993; Grabelsky et al. 1995; Nolan et al. 1982); distance (Christian & Swank 1997)"
GX 349+2;4U 1702-36,Sco X-2;LMXRB;1;349.1;2.75;256.44;-36.42;-10.8874;2.7500;5;0.05–0.18;"Flux measurement (Levine et al. 1984; Greenhill et al. 1979); distance (Christian & Swank 1997)"
GX 354-0;4U 1728-34,MXB 1728-34,1H 1728-334,3A 1728-337;LMXRB;1;354.3;-0.15;262.99;-33.83;-5.7000;-0.1500;;0.05–0.2;"Low-energy spectroscopy (Claret et al. 1994; Cook et al. 1991b); flux measurement (Levine et al. 1984)"
GX 359+2;;LMXRB;1;359.57;1.56;264.65;-28.48;-0.4298;1.5600;;0.05–0.18;Flux measurement (Levine et al. 1984)
