# Created by Octave 2.0.16, Sat Aug 26 10:08:09 2000 <gonzalez@hades>
# name: axis90
# type: matrix
# rows: 362
# columns: 2
 5.5107285922007e-15 -90
 1.5707165793555 -89
 3.1409547032251 -88
 4.71023606186496 -87
 6.27808263697129 -86
 7.84401684728923 -85
 9.40756169408881 -84
 10.9682409064633 -83
 12.5255790864059 -82
 14.0791018536208 -81
 15.6283359900237 -80
 17.172809583889 -79
 18.7120521735984 -78
 20.2455948909478 -77
 21.7729706039701 -76
 23.2937140592269 -75
 24.8073620235299 -74
 26.3134534250463 -73
 27.8115294937453 -72
 29.3011339011441 -71
 30.7818128993102 -70
 32.253115459077 -69
 33.7145934074321 -68
 35.1658015640347 -67
 36.606297876822 -66
 38.0356435566629 -65
 39.453403211017 -64
 40.8591449765592 -63
 42.2524406507302 -62
 43.6328658221703 -61
 45 -60
 46.3534267419049 -59
 47.6927337809884 -58
 49.0175131513524 -57
 50.3273613123672 -56
 51.6218792715942 -55
 52.9006727063226 -54
 54.1633520836844 -53
 55.4095327793092 -52
 56.6388351944854 -51
 57.8508848717885 -50
 59.0453126091457 -49
 60.2217545722972 -48
 61.3798524056249 -47
 62.5192533413098 -46
 63.6396103067893 -45
 64.7405820304786 -44
 65.8218331457253 -43
 66.8830342929655 -42
 67.9238622200495 -41
 68.943999880708 -40
 69.9431365311274 -39
 70.920967824605 -38
 71.8771959042564 -37
 72.8115294937453 -36
 73.7236839860093 -35
 74.6133815299537 -34
 75.4803511150882 -33
 76.3243286540783 -32
 77.1450570631901 -31
 77.9422863405995 -30
 78.7157736425456 -29
 79.4652833573034 -28
 80.1905871769531 -27
 80.891464166925 -26
 81.5677008332985 -25
 82.2190911878341 -24
 82.8454368107196 -23
 83.4465469110109 -22
 84.0222383847482 -21
 84.5723358707318 -20
 85.0966718039385 -19
 85.5950864665638 -18
 86.0674280366732 -17
 86.5135526344487 -16
 86.9333243660162 -15
 87.3266153648397 -14
 87.6933058306712 -13
 88.0332840660425 -12
 88.3464465102898 -11
 88.6326977710987 -10
 88.8919506535624 -9
 89.1241261867413 -8
 89.329153647719 -7
 89.5069705831446 -6
 89.6575228282571 -5
 89.7807645233842 -4
 89.8766581279116 -3
 89.9451744317186 -2
